"State","Indicator","Type","Estimate","LCL","UCL"
"Al-Gazeera","Pregnant: Iron deficiency anaemia","Proportion",17.05,0.01,39.99
"Al-Gazeera","Non-pregnant: Iron deficiency","Proportion",40.86,19.82,61.89
"Al-Gazeera","Non-pregnant: Iron overload","Proportion",0,0,0
"Al-Gazeera","Non-pregnant: Iron deficiency anaemia","Proportion",10.05,0.01,22.56
"Al-Gazeera","Child: Hypocalcaemia","Proportion",10.65,0.01,26.77
"Al-Gazeera","Child: Hpercalcaemia","Proportion",16.01,0.01,33.96
"Al-Gazeera","Pregnant: Hypocalcaemia","Proportion",55.05,16.59,93.51
"Al-Gazeera","Pregnant: Hpercalcaemia","Proportion",21.58,0.01,45.15
"Al-Gazeera","Non-pregnant: Hypocalcaemia","Proportion",16.87,0.01,49.1
"Al-Gazeera","Non-pregnant: Hpercalcaemia","Proportion",76.17,40.03,99.99
"Al-Gazeera","Pregnant: Iodine intake above requirements","Proportion",2.71,0.01,14.37
"Al-Gazeera","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Al-Gazeera","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",8.25,0.01,30.34
"Al-Gazeera","Non-pregnant non-lactating: Iodine intake excessive","Proportion",3.44,0.01,14.01
"Al-Gazeera","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Al-Gazeera","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Al-Gazeera","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",26.29,5.09,47.48
"Al-Gazeera","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",10.86,0.01,31.93
"Al-Gazeera","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",8.08,0.01,26.76
"Al-Gazeera","Non-pregnant lactating: Iodine insufficiency","Proportion",68.98,40.57,97.4
"Al-Gazeera","Pregnant: Iodine insufficiency","Proportion",100,100,100
"White Nile","Child: Mild anaemia","Proportion",24.73,8.99,40.47
"White Nile","Child: Moderate anaemia","Proportion",17.58,2.39,32.76
"White Nile","Child: Severe Anaemia","Proportion",1.17,0.01,6.37
"White Nile","Pregnant: Mild anaemia","Proportion",14.81,0.01,37.95
"White Nile","Pregnant: Moderate anaemia","Proportion",5.9,0.01,19.45
"White Nile","Pregnant: Severe Anaemia","Proportion",0,0,0
"White Nile","Non-pregnant: Mild anaemia","Proportion",14.71,1.21,28.21
"White Nile","Non-pregnant: Moderate anaemia","Proportion",6.28,0.01,17.15
"White Nile","Non-pregnant: Severe Anaemia","Proportion",0.16,0.01,2.25
"White Nile","Child: Acute inflammation","Proportion",12.43,0.87,23.98
"White Nile","Pregnant: Acute inflammation","Proportion",30.21,0.01,63.17
"White Nile","Non-pregnant: Acute inflammation","Proportion",18.06,0.67,35.46
"White Nile","Child: Iron deficiency","Proportion",52.03,34.39,69.67
"White Nile","Child: Iron deficiency anaemia","Proportion",23.65,7.58,39.72
"White Nile","Pregnant: Iron deficiency","Proportion",57.44,24.25,90.63
"White Nile","Pregnant: Iron overload","Proportion",0,0,9.67
"White Nile","Pregnant: Iron deficiency anaemia","Proportion",7.21,0.01,28.92
"White Nile","Non-pregnant: Iron deficiency","Proportion",47.09,27.25,66.93
"White Nile","Non-pregnant: Iron overload","Proportion",0.52,0.01,2.79
"White Nile","Non-pregnant: Iron deficiency anaemia","Proportion",10.62,0.01,22.88
"White Nile","Child: Hypocalcaemia","Proportion",58.99,34.23,83.75
"White Nile","Child: Hpercalcaemia","Proportion",2.33,0.01,8.83
"White Nile","Pregnant: Hypocalcaemia","Proportion",85.99,57.28,99.99
"White Nile","Pregnant: Hpercalcaemia","Proportion",11.58,0.01,31.29
"White Nile","Non-pregnant: Hypocalcaemia","Proportion",86.17,67.87,99.99
"White Nile","Non-pregnant: Hpercalcaemia","Proportion",10.29,0.01,29.52
"White Nile","Pregnant: Iodine intake above requirements","Proportion",9.32,0.01,30.2
"White Nile","Pregnant: Iodine intake excessive","Proportion",0,0,0
"White Nile","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",11.44,0.01,34.64
"White Nile","Non-pregnant non-lactating: Iodine intake excessive","Proportion",1.63,0.01,10.84
"White Nile","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"White Nile","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"White Nile","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",20.43,0.01,43.24
"White Nile","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",12.57,0.01,36.66
"White Nile","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",7.57,0.01,25.54
"White Nile","Non-pregnant lactating: Iodine insufficiency","Proportion",53.12,20.57,85.67
"White Nile","Pregnant: Iodine insufficiency","Proportion",100,100,100
"Central Darfur","Child: Mild anaemia","Proportion",22.91,0.01,48.59
"Central Darfur","Child: Moderate anaemia","Proportion",23.69,2.35,45.03
"Central Darfur","Child: Severe Anaemia","Proportion",1.35,0.01,7.65
"Central Darfur","Pregnant: Mild anaemia","Proportion",17.02,0.01,46.96
"Central Darfur","Pregnant: Moderate anaemia","Proportion",26.6,0.01,71.14
"Central Darfur","Pregnant: Severe Anaemia","Proportion",1.13,0.01,7.2
"Central Darfur","Non-pregnant: Mild anaemia","Proportion",23.67,4.63,42.71
"Central Darfur","Non-pregnant: Moderate anaemia","Proportion",18.83,1.95,35.71
"Central Darfur","Non-pregnant: Severe Anaemia","Proportion",1.36,0.01,6.21
"Central Darfur","Child: Acute inflammation","Proportion",58.6,34.4,82.8
"Central Darfur","Pregnant: Acute inflammation","Proportion",63.6,20.78,99.99
"Central Darfur","Non-pregnant: Acute inflammation","Proportion",52.43,25.71,79.16
"Central Darfur","Child: Iron deficiency","Proportion",34.25,11.28,57.23
"Central Darfur","Child: Iron deficiency anaemia","Proportion",16.79,0.01,36.49
"Central Darfur","Pregnant: Iron deficiency","Proportion",64.19,8.84,99.99
"Central Darfur","Pregnant: Iron overload","Proportion",1.2,0.01,5.98
"Central Darfur","Pregnant: Iron deficiency anaemia","Proportion",20.36,0.01,61.64
"Central Darfur","Non-pregnant: Iron deficiency","Proportion",34.05,7.13,60.97
"Central Darfur","Non-pregnant: Iron overload","Proportion",0,0,0
"Central Darfur","Non-pregnant: Iron deficiency anaemia","Proportion",13.82,0.01,35.18
"Central Darfur","Child: Hypocalcaemia","Proportion",40.22,14.06,66.37
"Central Darfur","Child: Hpercalcaemia","Proportion",10.26,0.01,32.45
"Central Darfur","Pregnant: Hypocalcaemia","Proportion",50.14,4.05,96.23
"Central Darfur","Pregnant: Hpercalcaemia","Proportion",37.36,0.01,86.69
"Central Darfur","Non-pregnant: Hypocalcaemia","Proportion",41.4,0.01,85.09
"Central Darfur","Non-pregnant: Hpercalcaemia","Proportion",50.17,8.27,92.06
"Central Darfur","Pregnant: Iodine intake above requirements","Proportion",0,0,0
"Central Darfur","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Central Darfur","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",1.35,0.01,6.7
"Central Darfur","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0.66,0.01,5.07
"Central Darfur","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Central Darfur","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Central Darfur","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",27.93,0.01,78.49
"Central Darfur","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",21.01,0.01,57.92
"Central Darfur","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",37.2,0.01,74.57
"Central Darfur","Non-pregnant lactating: Iodine insufficiency","Proportion",96.21,83.77,99.99
"Central Darfur","Pregnant: Iodine insufficiency","Proportion",100,100,100
"Red Sea","Child: Mild anaemia","Proportion",24.08,11.19,36.98
"Red Sea","Child: Moderate anaemia","Proportion",33.99,19.52,48.45
"Red Sea","Child: Severe Anaemia","Proportion",3.77,0.01,11.77
"Red Sea","Pregnant: Mild anaemia","Proportion",29.32,0.01,64.56
"Red Sea","Pregnant: Moderate anaemia","Proportion",22.81,0.01,57.22
"Red Sea","Pregnant: Severe Anaemia","Proportion",2.42,0.01,20.29
"Red Sea","Non-pregnant: Mild anaemia","Proportion",16.07,1.74,30.4
"Red Sea","Non-pregnant: Moderate anaemia","Proportion",21.5,4.2,38.81
"Red Sea","Non-pregnant: Severe Anaemia","Proportion",5.3,0.01,15.54
"Red Sea","Child: Acute inflammation","Proportion",32.91,13.78,52.04
"Red Sea","Pregnant: Acute inflammation","Proportion",25.13,0.01,59.32
"Red Sea","Non-pregnant: Acute inflammation","Proportion",38.2,18.07,58.32
"Red Sea","Child: Iron deficiency","Proportion",69.4,51.77,87.03
"Red Sea","Child: Iron deficiency anaemia","Proportion",44.06,26.18,61.94
"Red Sea","Pregnant: Iron deficiency","Proportion",65.66,34.58,96.74
"Red Sea","Pregnant: Iron overload","Proportion",0,0,0
"Red Sea","Pregnant: Iron deficiency anaemia","Proportion",41.6,0.01,84.79
"Red Sea","Non-pregnant: Iron deficiency","Proportion",64.01,43.17,84.85
"Red Sea","Non-pregnant: Iron overload","Proportion",0,0,0
"Red Sea","Non-pregnant: Iron deficiency anaemia","Proportion",32.51,10.78,54.23
"Red Sea","Child: Hypocalcaemia","Proportion",32.08,14.71,49.45
"Red Sea","Child: Hpercalcaemia","Proportion",11.44,0.01,24.43
"Red Sea","Pregnant: Hypocalcaemia","Proportion",56.22,14.53,97.92
"Red Sea","Pregnant: Hpercalcaemia","Proportion",28.84,0.01,74.55
"Red Sea","Non-pregnant: Hypocalcaemia","Proportion",37.2,0.01,75
"Red Sea","Non-pregnant: Hpercalcaemia","Proportion",56.01,22.03,89.98
"Red Sea","Pregnant: Iodine intake above requirements","Proportion",42.78,0.01,99.99
"Red Sea","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Red Sea","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",59.03,27.72,90.34
"Red Sea","Non-pregnant non-lactating: Iodine intake excessive","Proportion",10.48,0.01,29.71
"Red Sea","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Red Sea","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Red Sea","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",5.81,0.01,20.54
"Red Sea","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",5.13,0.01,16.32
"Red Sea","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",0.91,0.01,8.15
"Red Sea","Non-pregnant lactating: Iodine insufficiency","Proportion",10.3,0.01,27.79
"Red Sea","Pregnant: Iodine insufficiency","Proportion",56.53,56.53,56.53
"North Kourdofan","Child: Mild anaemia","Proportion",24.42,12.82,36.02
"North Kourdofan","Child: Moderate anaemia","Proportion",25.06,12.96,37.15
"North Kourdofan","Child: Severe Anaemia","Proportion",1.52,0.01,6.26
"North Kourdofan","Pregnant: Mild anaemia","Proportion",21.87,0.01,46.63
"North Kourdofan","Pregnant: Moderate anaemia","Proportion",19.43,0.01,47.81
"North Kourdofan","Pregnant: Severe Anaemia","Proportion",0.39,0.01,4.66
"North Kourdofan","Non-pregnant: Mild anaemia","Proportion",16.8,4.34,29.25
"North Kourdofan","Non-pregnant: Moderate anaemia","Proportion",11.96,0.01,25.22
"North Kourdofan","Non-pregnant: Severe Anaemia","Proportion",0.3,0.01,2.99
"North Kourdofan","Child: Acute inflammation","Proportion",16.03,0.01,34.73
"North Kourdofan","Pregnant: Acute inflammation","Proportion",36.01,2.38,69.64
"North Kourdofan","Non-pregnant: Acute inflammation","Proportion",21.88,3.75,40
"North Kourdofan","Child: Iron deficiency","Proportion",68.03,46.7,89.37
"North Kourdofan","Child: Iron deficiency anaemia","Proportion",19.15,3.25,35.04
"North Kourdofan","Pregnant: Iron deficiency","Proportion",68.09,33.63,99.99
"North Kourdofan","Pregnant: Iron overload","Proportion",0,0,0
"North Kourdofan","Pregnant: Iron deficiency anaemia","Proportion",28.08,0.01,58.28
"North Kourdofan","Non-pregnant: Iron deficiency","Proportion",53.13,31.17,75.09
"North Kourdofan","Non-pregnant: Iron overload","Proportion",0.68,0.01,6.76
"North Kourdofan","Non-pregnant: Iron deficiency anaemia","Proportion",16.86,3.12,30.6
"North Kourdofan","Child: Hypocalcaemia","Proportion",78.92,59.22,98.62
"North Kourdofan","Child: Hpercalcaemia","Proportion",3.14,0.01,11.15
"North Kourdofan","Pregnant: Hypocalcaemia","Proportion",94.32,76.66,99.99
"North Kourdofan","Pregnant: Hpercalcaemia","Proportion",5.45,0.01,21.6
"North Kourdofan","Non-pregnant: Hypocalcaemia","Proportion",89.86,73.78,99.99
"North Kourdofan","Non-pregnant: Hpercalcaemia","Proportion",9.03,0.01,26.93
"North Kourdofan","Pregnant: Iodine intake above requirements","Proportion",1.28,0.01,17.02
"North Kourdofan","Pregnant: Iodine intake excessive","Proportion",0,0,0
"North Kourdofan","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",15.09,0.01,38.48
"North Kourdofan","Non-pregnant non-lactating: Iodine intake excessive","Proportion",5.15,0.01,30.76
"North Kourdofan","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"North Kourdofan","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"North Kourdofan","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",10.31,0.01,38.09
"North Kourdofan","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",9.98,0.01,39.86
"North Kourdofan","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",12.61,0.01,39.33
"North Kourdofan","Non-pregnant lactating: Iodine insufficiency","Proportion",61.11,38.46,83.75
"North Kourdofan","Pregnant: Iodine insufficiency","Proportion",100,100,100
"East Darfur","Child: Mild anaemia","Proportion",31.03,10.57,51.5
"East Darfur","Child: Moderate anaemia","Proportion",26.98,0.01,57.63
"East Darfur","Child: Severe Anaemia","Proportion",3.65,0.01,12.89
"East Darfur","Pregnant: Mild anaemia","Proportion",26.93,0.01,57.82
"East Darfur","Pregnant: Moderate anaemia","Proportion",16.89,0.01,55.53
"East Darfur","Pregnant: Severe Anaemia","Proportion",5.14,0.01,30.22
"East Darfur","Non-pregnant: Mild anaemia","Proportion",16.54,2.33,30.76
"East Darfur","Non-pregnant: Moderate anaemia","Proportion",20.45,4,36.9
"East Darfur","Non-pregnant: Severe Anaemia","Proportion",3.45,0.01,10.56
"East Darfur","Child: Acute inflammation","Proportion",48.64,26.22,71.07
"East Darfur","Pregnant: Acute inflammation","Proportion",31.67,0.01,63.5
"East Darfur","Non-pregnant: Acute inflammation","Proportion",40.74,21.61,59.87
"East Darfur","Child: Iron deficiency","Proportion",43.99,15.7,72.29
"East Darfur","Child: Iron deficiency anaemia","Proportion",28.9,0.2,57.6
"East Darfur","Pregnant: Iron deficiency","Proportion",80.62,42.45,99.99
"East Darfur","Pregnant: Iron overload","Proportion",2.21,0.01,9.55
"East Darfur","Pregnant: Iron deficiency anaemia","Proportion",41.45,0.01,90.55
"East Darfur","Non-pregnant: Iron deficiency","Proportion",48.07,22.55,73.58
"East Darfur","Non-pregnant: Iron overload","Proportion",1.25,0.01,6.11
"East Darfur","Non-pregnant: Iron deficiency anaemia","Proportion",20.01,1.46,38.56
"East Darfur","Child: Hypocalcaemia","Proportion",59.45,37,81.89
"East Darfur","Child: Hpercalcaemia","Proportion",4.42,0.01,17.04
"East Darfur","Pregnant: Hypocalcaemia","Proportion",78.62,45.09,99.99
"East Darfur","Pregnant: Hpercalcaemia","Proportion",17.11,0.01,57.41
"East Darfur","Non-pregnant: Hypocalcaemia","Proportion",81.38,57.03,99.99
"East Darfur","Non-pregnant: Hpercalcaemia","Proportion",16.08,0.01,37.83
"East Darfur","Pregnant: Iodine intake above requirements","Proportion",0,0,1.23
"East Darfur","Pregnant: Iodine intake excessive","Proportion",0,0,0
"East Darfur","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",5.04,0.01,23.58
"East Darfur","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0,0,0
"East Darfur","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"East Darfur","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"East Darfur","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",9.04,0.01,31.35
"East Darfur","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",13.4,0.01,30.65
"East Darfur","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",55.74,18.04,93.44
"East Darfur","Non-pregnant lactating: Iodine insufficiency","Proportion",96.23,79.56,99.99
"East Darfur","Pregnant: Iodine insufficiency","Proportion",100,100,100
"Kassala","Child: Mild anaemia","Proportion",21.01,8.7,33.32
"Kassala","Child: Moderate anaemia","Proportion",26.85,12.92,40.78
"Kassala","Child: Severe Anaemia","Proportion",2.52,0.01,8.81
"Kassala","Pregnant: Mild anaemia","Proportion",28.01,0.01,68.46
"Kassala","Pregnant: Moderate anaemia","Proportion",26.18,0.01,71.72
"Kassala","Pregnant: Severe Anaemia","Proportion",0,0,0
"Kassala","Non-pregnant: Mild anaemia","Proportion",16.12,0.88,31.37
"Kassala","Non-pregnant: Moderate anaemia","Proportion",16.82,1.69,31.95
"Kassala","Non-pregnant: Severe Anaemia","Proportion",0.28,0.01,1.81
"Kassala","Child: Acute inflammation","Proportion",50.72,0.01,99.99
"Kassala","Pregnant: Acute inflammation","Proportion",61.42,6.22,99.99
"Kassala","Non-pregnant: Acute inflammation","Proportion",51.8,27.49,76.11
"Kassala","Child: Iron deficiency","Proportion",57.02,34.96,79.09
"Kassala","Child: Iron deficiency anaemia","Proportion",21.26,2.98,39.53
"Kassala","Pregnant: Iron deficiency","Proportion",81.86,43.09,99.99
"Kassala","Pregnant: Iron overload","Proportion",0,0,0
"Kassala","Pregnant: Iron deficiency anaemia","Proportion",49.33,7.51,91.15
"Kassala","Non-pregnant: Iron deficiency","Proportion",60.26,34.47,86.04
"Kassala","Non-pregnant: Iron overload","Proportion",0.52,0.01,5.95
"Kassala","Non-pregnant: Iron deficiency anaemia","Proportion",24,5.62,42.37
"Kassala","Child: Hypocalcaemia","Proportion",51.22,29.07,73.37
"Kassala","Child: Hpercalcaemia","Proportion",8.6,0.01,24.61
"Kassala","Pregnant: Hypocalcaemia","Proportion",52.28,14.89,89.67
"Kassala","Pregnant: Hpercalcaemia","Proportion",25.53,0.01,71.9
"Kassala","Non-pregnant: Hypocalcaemia","Proportion",53.98,16.22,91.75
"Kassala","Non-pregnant: Hpercalcaemia","Proportion",41.33,6.45,76.21
"Kassala","Pregnant: Iodine intake above requirements","Proportion",25.21,5.44,44.98
"Kassala","Pregnant: Iodine intake excessive","Proportion",0,0,0
"Kassala","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",22.69,0.01,51.46
"Kassala","Non-pregnant non-lactating: Iodine intake excessive","Proportion",25.09,0.01,53.2
"Kassala","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"Kassala","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"Kassala","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",13.27,0.01,43.66
"Kassala","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",8.01,0.01,38.83
"Kassala","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",5.19,0.01,23.14
"Kassala","Non-pregnant lactating: Iodine insufficiency","Proportion",42.28,17.55,67.01
"Kassala","Pregnant: Iodine insufficiency","Proportion",85.17,85.17,85.17
"South Kourdofan","Child: Mild anaemia","Proportion",24.46,4.86,44.06
"South Kourdofan","Child: Moderate anaemia","Proportion",21.75,6.62,36.88
"South Kourdofan","Child: Severe Anaemia","Proportion",2.66,0.01,9.84
"South Kourdofan","Pregnant: Mild anaemia","Proportion",17.61,0.01,44.43
"South Kourdofan","Pregnant: Moderate anaemia","Proportion",29.92,0.01,66.88
"South Kourdofan","Pregnant: Severe Anaemia","Proportion",4.93,0.01,31.4
"South Kourdofan","Non-pregnant: Mild anaemia","Proportion",18.22,1.57,34.86
"South Kourdofan","Non-pregnant: Moderate anaemia","Proportion",9.34,0.01,24.81
"South Kourdofan","Non-pregnant: Severe Anaemia","Proportion",0.43,0.01,3.24
"South Kourdofan","Child: Acute inflammation","Proportion",20.96,1.93,40
"South Kourdofan","Pregnant: Acute inflammation","Proportion",19.41,0.01,57.84
"South Kourdofan","Non-pregnant: Acute inflammation","Proportion",15.57,0.01,36.38
"South Kourdofan","Child: Iron deficiency","Proportion",49.32,27.52,71.12
"South Kourdofan","Child: Iron deficiency anaemia","Proportion",29.72,6.84,52.59
"South Kourdofan","Pregnant: Iron deficiency","Proportion",59.24,14.45,99.99
"South Kourdofan","Pregnant: Iron overload","Proportion",0.44,0.01,5.86
"South Kourdofan","Pregnant: Iron deficiency anaemia","Proportion",31.61,0.01,79.1
"South Kourdofan","Non-pregnant: Iron deficiency","Proportion",37.83,11.51,64.15
"South Kourdofan","Non-pregnant: Iron overload","Proportion",0.78,0.01,8.92
"South Kourdofan","Non-pregnant: Iron deficiency anaemia","Proportion",13.92,0.01,30.45
"South Kourdofan","Child: Hypocalcaemia","Proportion",55.21,34.22,76.21
"South Kourdofan","Child: Hpercalcaemia","Proportion",2.34,0.01,8.25
"South Kourdofan","Pregnant: Hypocalcaemia","Proportion",95.22,85.05,99.99
"South Kourdofan","Pregnant: Hpercalcaemia","Proportion",0,0,0
"South Kourdofan","Non-pregnant: Hypocalcaemia","Proportion",85.95,67.58,99.99
"South Kourdofan","Non-pregnant: Hpercalcaemia","Proportion",10.73,0.01,28.63
"South Kourdofan","Pregnant: Iodine intake above requirements","Proportion",1.12,0.01,11.29
"South Kourdofan","Pregnant: Iodine intake excessive","Proportion",0,0,0
"South Kourdofan","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",15.4,3.71,27.08
"South Kourdofan","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0,0,0
"South Kourdofan","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"South Kourdofan","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"South Kourdofan","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",22.43,0.01,58.21
"South Kourdofan","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",11.22,0.01,35.91
"South Kourdofan","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",34.79,6.2,63.39
"South Kourdofan","Non-pregnant lactating: Iodine insufficiency","Proportion",77.75,50.9,99.99
"South Kourdofan","Pregnant: Iodine insufficiency","Proportion",96.52,96.52,96.52
"West Darfur","Child: Mild anaemia","Proportion",15.01,5.05,24.97
"West Darfur","Child: Moderate anaemia","Proportion",13.45,1.75,25.15
"West Darfur","Child: Severe Anaemia","Proportion",0.45,0.01,2.36
"West Darfur","Pregnant: Mild anaemia","Proportion",15.45,0.01,34.14
"West Darfur","Pregnant: Moderate anaemia","Proportion",6.22,0.01,27.57
"West Darfur","Pregnant: Severe Anaemia","Proportion",0.63,0.01,6.04
"West Darfur","Non-pregnant: Mild anaemia","Proportion",12.34,1.62,23.06
"West Darfur","Non-pregnant: Moderate anaemia","Proportion",6.34,0.01,14.66
"West Darfur","Non-pregnant: Severe Anaemia","Proportion",0,0,0.7
"West Darfur","Child: Acute inflammation","Proportion",36.37,22.08,50.66
"West Darfur","Pregnant: Acute inflammation","Proportion",40.43,10.57,70.28
"West Darfur","Non-pregnant: Acute inflammation","Proportion",46.53,28.77,64.29
"West Darfur","Child: Iron deficiency","Proportion",27.37,14.46,40.27
"West Darfur","Child: Iron deficiency anaemia","Proportion",8.15,1.04,15.26
"West Darfur","Pregnant: Iron deficiency","Proportion",33.42,6.42,60.42
"West Darfur","Pregnant: Iron overload","Proportion",0,0,4.15
"West Darfur","Pregnant: Iron deficiency anaemia","Proportion",5.12,0.01,22.92
"West Darfur","Non-pregnant: Iron deficiency","Proportion",25.3,6.23,44.37
"West Darfur","Non-pregnant: Iron overload","Proportion",0.9,0.01,4.45
"West Darfur","Non-pregnant: Iron deficiency anaemia","Proportion",4.9,0.01,12.37
"West Darfur","Child: Hypocalcaemia","Proportion",51.82,35.72,67.92
"West Darfur","Child: Hpercalcaemia","Proportion",6.99,0.01,14.85
"West Darfur","Pregnant: Hypocalcaemia","Proportion",84.96,59.88,99.99
"West Darfur","Pregnant: Hpercalcaemia","Proportion",10.32,0.01,37.12
"West Darfur","Non-pregnant: Hypocalcaemia","Proportion",72.09,53.18,91.01
"West Darfur","Non-pregnant: Hpercalcaemia","Proportion",21.97,3.84,40.1
"West Darfur","Pregnant: Iodine intake above requirements","Proportion",0,0,0
"West Darfur","Pregnant: Iodine intake excessive","Proportion",0,0,0
"West Darfur","Non-pregnant non-lactating: Iodine intake above requirements","Proportion",0.51,0.01,5.55
"West Darfur","Non-pregnant non-lactating: Iodine intake excessive","Proportion",0.54,0.01,4.83
"West Darfur","Non-pregnant lactating: Iodine intake above requirements","Proportion",0,0,0
"West Darfur","Non-pregnant lactating: Iodine intake excessive","Proportion",0,0,0
"West Darfur","Non-pregnant non-lactating: Mild iodine deficiency","Proportion",9.58,0.01,30.12
"West Darfur","Non-pregnant non-lactating: Moderate iodine deficiency","Proportion",12.7,0.01,33.02
"West Darfur","Non-pregnant non-lactating: Severe iodine deficiency","Proportion",67,37.81,96.18
"West Darfur","Non-pregnant lactating: Iodine insufficiency","Proportion",92.22,81.26,99.99
"West Darfur","Pregnant: Iodine insufficiency","Proportion",96.41,96.41,96.41
